iter	Passed	Remaining
0	2	1201
1	5	1365
2	8	1396
3	10	1273
4	12	1256
5	14	1199
6	16	1156
7	18	1126
8	20	1091
9	21	1067
10	23	1053
11	25	1034
12	27	1013
13	28	1002
14	30	995
15	32	985
16	34	973
17	35	963
18	38	962
19	39	951
20	41	948
21	43	946
22	45	945
23	48	953
24	50	950
25	51	946
26	53	943
27	55	938
28	57	934
29	59	927
30	61	926
31	63	921
32	64	919
33	67	918
34	68	916
35	71	917
36	72	912
37	74	907
38	76	904
39	78	900
40	80	896
41	81	892
42	83	889
43	85	886
44	87	882
45	89	880
46	91	877
47	93	876
48	94	872
49	96	869
50	98	868
51	100	865
52	102	862
53	103	858
54	105	856
55	107	853
56	109	849
57	111	846
58	112	843
59	114	840
60	116	839
61	118	836
62	120	834
63	122	832
64	124	831
65	125	828
66	127	826
67	129	824
68	131	823
69	133	821
70	135	818
71	137	816
72	139	813
73	140	810
74	142	808
75	144	805
76	146	802
77	147	800
78	149	797
79	151	795
80	153	793
81	155	791
82	157	790
83	159	788
84	161	787
85	163	786
86	165	785
87	167	782
88	169	780
89	171	779
90	172	777
91	174	775
92	176	773
93	178	771
94	180	769
95	182	766
96	184	765
97	186	763
98	187	761
99	189	759
100	191	757
101	193	755
102	195	753
103	197	751
104	199	750
105	201	748
106	203	746
107	205	744
108	207	743
109	209	741
110	211	739
111	213	738
112	215	736
113	216	734
114	218	732
115	220	730
116	222	728
117	224	726
118	226	724
119	228	723
120	230	721
121	232	719
122	234	717
123	236	716
124	238	715
125	240	714
126	242	712
127	244	710
128	246	709
129	248	707
130	250	705
131	252	704
132	253	698
133	255	696
134	257	695
135	258	692
136	260	690
137	262	688
138	264	687
139	266	685
140	268	683
141	270	681
142	272	680
143	274	678
144	276	676
145	278	675
146	280	673
147	282	670
148	283	668
149	285	667
150	287	664
151	289	663
152	291	661
153	293	659
154	295	657
155	297	655
156	299	653
157	300	651
158	302	649
159	304	648
160	306	644
161	307	642
162	309	640
163	311	639
164	313	637
165	315	635
166	317	633
167	319	632
168	321	630
169	323	627
170	325	626
171	327	624
172	329	622
173	331	620
174	332	618
175	334	616
176	336	614
177	338	612
178	340	610
179	342	608
180	344	607
181	346	605
182	348	603
183	350	602
184	352	599
185	353	597
186	355	595
187	357	592
188	359	590
189	360	588
190	362	586
191	364	583
192	365	581
193	367	580
194	369	578
195	371	576
196	373	574
197	375	572
198	376	570
199	378	568
200	380	566
201	382	564
202	384	562
203	386	561
204	388	559
205	390	557
206	392	555
207	394	553
208	396	552
209	398	550
210	400	548
211	402	546
212	404	544
213	405	542
214	407	540
215	409	538
216	411	536
217	413	534
218	415	532
219	416	530
220	418	528
221	420	526
222	422	525
223	424	523
224	426	521
225	428	519
226	430	518
227	432	516
228	434	514
229	436	512
230	439	511
231	441	509
232	442	507
233	444	505
234	447	504
235	449	502
236	450	500
237	452	498
238	455	496
239	456	494
240	458	493
241	461	491
242	463	489
243	465	487
244	467	486
245	469	484
246	471	482
247	473	480
248	475	478
249	477	477
250	478	475
251	480	473
252	482	471
253	484	469
254	486	467
255	488	465
256	490	464
257	492	462
258	494	460
259	496	458
260	498	456
261	500	455
262	502	453
263	505	451
264	506	449
265	508	447
266	510	445
267	512	444
268	514	442
269	517	440
270	519	438
271	521	436
272	523	434
273	525	433
274	526	431
275	528	429
276	530	427
277	532	425
278	534	423
279	536	421
280	538	419
281	540	418
282	542	416
283	545	414
284	547	412
285	549	411
286	551	409
287	552	407
288	554	405
289	556	403
290	558	401
291	560	399
292	562	397
293	564	395
294	566	393
295	568	391
296	570	389
297	572	387
298	574	386
299	576	384
300	578	382
301	580	380
302	582	378
303	584	376
304	586	374
305	588	373
306	590	371
307	592	369
308	594	367
309	596	365
310	597	363
311	600	361
312	602	359
313	604	357
314	606	355
315	608	354
316	610	352
317	612	350
318	614	348
319	616	346
320	618	344
321	620	342
322	622	340
323	624	339
324	626	337
325	628	335
326	630	333
327	632	331
328	634	329
329	635	327
330	637	325
331	639	323
332	641	321
333	643	320
334	646	318
335	647	316
336	650	314
337	652	312
338	654	310
339	656	308
340	658	306
341	659	304
342	661	302
343	663	301
344	665	299
345	667	297
346	669	295
347	671	293
348	673	291
349	675	289
350	677	287
351	679	285
352	681	283
353	682	281
354	685	279
355	687	277
356	689	276
357	691	274
358	693	272
359	695	270
360	697	268
361	699	266
362	700	264
363	702	262
364	704	260
365	706	258
366	708	256
367	710	254
368	712	252
369	714	250
370	716	248
371	718	247
372	720	245
373	722	243
374	724	241
375	726	239
376	728	237
377	730	235
378	732	233
379	734	231
380	736	229
381	738	228
382	740	226
383	742	224
384	743	222
385	746	220
386	748	218
387	749	216
388	751	214
389	754	212
390	755	210
391	757	208
392	759	206
393	761	204
394	763	203
395	765	201
396	768	199
397	769	197
398	771	195
399	773	193
400	775	191
401	777	189
402	779	187
403	781	185
404	783	183
405	785	181
406	787	179
407	789	177
408	791	176
409	793	174
410	795	172
411	797	170
412	799	168
413	801	166
